Text,Rating
Я стала клиентом Газпромбанка в июне года заполнив анкету на получение дебетовой карты на сайте Газпромбанка. Курьер Валерия доставившая мне карту на дом предложила купить сим карту ГПБ Мобайл с выгодным тарифом Действуй на месяцев за руб. Скидка . Минуты гигабайты и смс неиспользованные в течение месяца переносятся на следующий месяц. Можно сим карту оформить с переносом имеющегося номера тогда Гб ежемесячно будет добавлено к тарифу. Я сначала оформила сим карту себе а потом и ребенку приобрела. Спасибо банку за такое предложение это невероятно выгодно со всех сторон а главное связь ловит везде интернет работает отлично т.к. оборудование используется оператора ТЕЛЕ . Курьеру большое спасибо за подробные понятные разьяснения по дебетовой карте и сим карте по открытию накопительных счетов.,5
Я стала клиентом Газпромбанка в июне года заполнив анкету на получение дебетовой карты на сайте Газпромбанка. Курьер Валерия доставившая мне карту на дом предложила купить сим карту ГПБ Мобайл с выгодным тарифом Действуй на месяцев за руб. Скидка . Минуты гигабайты и смс неиспользованные в течение месяца переносятся на следующий месяц. Можно сим карту оформить с переносом имеющегося номера тогда Гб ежемесячно будет добавлено к тарифу. Я сначала оформила сим карту себе а потом и ребенку приобрела. Спасибо банку за такое предложение это невероятно выгодно со всех сторон а главное связь ловит везде интернет работает отлично т.к. оборудование используется оператора ТЕЛЕ . Курьеру большое спасибо за подробные понятные разьяснения по дебетовой карте и сим карте по открытию накопительных счетов.,5
Уже более лет обслуживаюсь в банке. Всегда можно подобрать для себя нужную и выгодную банковскую услугу которую можно оформить быстро онлайн. Очень уютно и комфортно в отделении в г.Уфа Шафиева особенно после ремонта Радует что работают профессионалы своего дела и все вопросы решаются быстро и качественно.,5
Заказал карту в газпромбанке по рекламе. С доставкой по адресу. Хочу выразить благодарность представителю банка Рамилю М ву. Как он позвонил я не был на месте. Попросил привезти карту по другому адресу. Он без всяких возмущений по пробкам пробирался привез ее мне все доходчиво объяснил оставил контакты по которым можно связаться в случае возможных вопросов. Вот с таким представителем банка приятно иметь дело. Руководству следует поощрять таких сотрудников и я думаю такие как он смогут привлечь не мало клиентов к вам в банк своим безупречным обслуживанием. Спасибо ему.,5
Здравствуйт Хотел бы поделиться впечатлением о службе поддержки Тинькофф Банка. Начну с того что я оплатил на одном из сайтов услугу. Все было отлично но спустя сутки этот сайт списал дополнительнуже сумму помимо оплаченной услуги. Я понятия не имел за что это. Сразу же написал в чат онлайн банка по сложившейся ситуаци. Специалист банка дал моментальный ответ и разъяснил что сайт автоматически подключил подписку при оплате услуги. После всего этого мне помогли вернуть деньги за якобы подписку . За что сотруднику поддерлет огромное спасибо,5
Получила талон в . Проблематичнее решили . Перенаправили с другое окно в . Сейчас . Кукушки кукуют. а операция элементарная выписка по дебетовой карте. ужас а не обслуживание.,5
Добрый день.Сегодня обратился в банк по поводу списания денежных средств за услугу премиум.Четсно говоря она мне не нужна она была подключена когда я заводил новую карту.Позвонив в контакт центра мне ответила Алёна личный номер .она мне все подробно рассказала и объяснила что и за что было снятие продление подписки .Рассказала все условия но они мне были не интересны и не нужна была эта подписка.И Алена сказала что сейчас все попробует вернуть и сервис отключить.В течении минут средства вернулись за что ей огромное спасибо все мне отключила и предложила подписку про за рублей а она кстати мне понравилась и мне ее подключили. В общем отличный банк с отличными сотрудниками которые всегда идут на встречу клиенту и помогают ему быстро и качественно.за что я им благодарен,1
Здравствуйте Обращалась в банк по причине не начислился кэшбэк по программе Пригласи друга категория Отели . Обратилась в чат поддержки в мобильном приложении Тинькофф . Проблема состояла в том что бронирование друга отмечалось как Отмена брони . Хотя такой ситуации не было. Написала в поддержку сначала не видели моей заявки на кэшбэк. Проверили данные друга номер телефона и брони. Создали обращение в течение следующего дня должны были проверить но ответ на обращение поступил уже меньше чем через минут. Очень оперативно Очень помог сотрудник Владимир. Переписка длилась минут из за трудной ситуации. Сотрудник банка был вежливым клиентоориентированным. Очень давно пользуюсь банком Тинькофф и всегда очень нравится обслуживание карты дизайн и хорошая категория кэшбэков каждый месяц Спасибо за отличную работу,5
Перевела на Т.Бизнес деньги а потом оказалось что их нужно вывести на свою дебетовую. Без комисии по текущему тарифу никак стоимость комиссии р. Спросила в поддержке как вывести деньги с минимальными потерями. Получилось что сменила тариф на премиум у дебетовой карты и мне дали первый месяц В ПОДАРОК Т.е я перевела деньги с Бизнеса не заплатив ни рубля Ребята это топ. Все оды посвящены Ксении код сотрудника Ксения вы чудесное чудо как и банк в котором работаете,5
сентября в . я обратилась в контактный центр Совкомбанка по номеру где сразу же меня переключили на оператора. Девушка оператор ответила мне приветливо и доброжелательно быстро поняла суть моей просьбы вела себя сдержанно и корректно. Сначала в диалоге я подтвердила свою личность а затем оператор очень оперативно закрыла мне вклад перевела часть денежных средств на карту Халва а затем открыла мне новый вклад. И это все произошло сразу же Еще одним вопросом было проконсультировать меня в приложении об увеличении лимитов по карте для перевода по системе быстрых платежей девушка оператор и тут мне очень быстро все объяснила и помогла все найти и увеличить лимит в приложении непосредственно в диалоге я зашла в приложение и по командам оператора нашла соответствующий пункт. Спасибо большое контактному центру Совкомбанка за отличную работу и оперативную помощь Я очень довольна и буду обращаться еще а так же буду советовать Совкомбанк своим друзьям и знакомым,5
Лучший банк пользуюсь уже много лет и ни разу не подводил меня. Так как я любитель кэшбеков то крайний раз выбрал подходящие для себя категории на месяц прямо перед покупкой. Совершил её по СБП. Позже не увидел начисленного кэшбека поэтому сразу обратился в поддержку . . где мне сообщили что при покупке по СБП кэшбек не начисляется согласно условиям. Не успел расстроиться как оператор Екатерина в индивидуальном порядке решила мою проблему и в виде исключения начислила кэшбек за покупку по которой он не должен был начислиться. Кэшбек с той покупки не великий но я очень люблю такое отношение банка к своим клиентам даже в таких мелочах. Однозначно рекомендую.,5
Я обратилась в чат поддержки Тинькофф банка чтобы решить вопрос с чеком за покупку мороженного. Я получила чек но без штрих кода поэтому у меня возникали сомнения по поводу получения кешбэка в размере процентов за покупку двух пачек мороженого. Я написала в чат и буквально сразу со мной связалась специалист по имени Кадрия. Она была очень оперативна и сообщила что переключит меня на нужного сотрудника. Затем в разговор включилась сотрудница Оля которая ответила на все мои вопросы. Она пояснила что не может ответить на вопрос о том какие конкретно магазины присылают чеки. Потом Алина она попросила прислать чек в чат и очень подробно ответила на вопросы о том как я могу прислать чек и сколько времени займет обработка сообщения. Так как в чат мне не удалось прислать чек. Благодаря оперативной и быстрой консультации я смогла вернуть себе денежные средства за покупку двух пачек мороженого. Я благодарна Тинькофф банку за качественное обслуживание и профессионализм его сотрудников.,5
